ESQUEMA	SUMARY	CAUSA EFECTO	CRITICIDAD	DETECTADO POR	DETECTADO EN CICLO	DETECTADO EN RELEASE	VERSION OBJETIVO	DETECTADO EN FECHA	ENTORNO	ESTATUS	TIPO DE DEFECTO	ID DE EXCEPCIONES	
ADGC	 Summary: Criterio 2.4.1 - Evitar bloques: Agregar enlace o mecanismo de saltos al contenido principal.	APLICACIÓN	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: Internal encoding declaration iso-8859-1 disagrees with the actual encoding of the document (utf-8).	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: Bad value text/html, charset=ISO-8859-1 for attribute content on element meta: charset= must be followed by utf-8.	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: A meta element with an http-equiv attribute whose value is X-UA-Compatible must have a content attribute with the value IE=edge.	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: The only allowed value for the charset attribute for the script element is utf-8. (But the attribute is not needed and should be omitted altogether.)	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: ID Duplicado (th_metadato_tipo)	APLICACIÓN	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: ID Duplicado (th_descripcion_tipo)	APLICACIÓN	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: ID Duplicado (th_valoresValido_tipo)	APLICACIÓN	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento: ID Duplicado (th_etiqueta_tipo)	APLICACIÓN	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 4.1.1 – Procesamiento CSS: Error de análisis sintáctico en ParqEstructura.css	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: Criterio 1.4.4 – Cambio de tamaño del texto: Existen fuentes absolutas en ParqEstructura.css	 INFRAESTRUCTURA	Alta	 99gu7918	02.03.02.00	02.03.02.00	02.03.02.00	23/08/2021	Preexplotación L1	New	Accesibilidad		
ADGC	 Summary: SQLSyntaxErrorException en el servicio ADGC0200	APLICACIÓN	Alta	 99gu8248	02.03.02.00	02.03.02.00		03/09/2021	Producción	Closed	Funcional		
ADGC	 Summary: Error 404	 INFRAESTRUCTURA	Media	 99gu8509	02.03.02.00	02.03.02.00		24/08/2021	Preexplotación L1	New	Vulnerabilidad		
ADRO	 Summary: Datos de Entrada Inválidos. Manipulación arbitraria del estado para asignar valores dentro de la lógica pero incorrectos.	APLICACIÓN	Alta	 99gu2977	9-M6	9-M6		27/05/2021	Preexplotación Inestable	Closed	Vulnerabilidad		
ADRO	 Summary: Datos de Entrada Inválidos. Manipulación arbitraria del estado para asignar valores no contemplados como estado	APLICACIÓN	Alta	 99gu2977	9-M6	9-M6		27/05/2021	Preexplotación Inestable	Closed	Vulnerabilidad		
ADRO	 Summary: Criterio 1.1.1 - Contenido no textual: Imágenes sin alternativa textual.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Text área sin descripción asociada	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	" Summary: Criterio 2.4.1 - Evitar bloques: Consider providing skip-links (such as ""skip to main"")."	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 3.3.2 - Etiquetas o instrucciones: Informar formatos de entrada en los campos de fecha.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento: The align attribute on the img element is obsolete. Use CSS instead.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento: An img element must have an alt attribute, except under certain conditions.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento: Stray end tag input.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento: Duplicate attribute class.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Bug de Oracle. Bloqueos BBDD	APLICACIÓN	Media	 99GU4675	9-M6	9-M6		26/05/2021	Preexplotación Estable	New	Rendimiento		
ADRO	 Summary: Criterio 1.4.4 - Cambio de tamaño de texto: Existen fuentes absolutas en adminApp.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Tratamiento Inadecuado de Errores. Errores no controlados en los mantenimientos.	APLICACIÓN	Media	 99gu2977	9-M6	9-M6	9-M6	27/05/2021	Preexplotación Inestable	Heredado	Vulnerabilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: HTML usado para formatear contenido.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Inputs sin información asociada	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Etiqueta bold utilizada para dar formato a un texto	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Label utilizado de manera incorrecta	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Uso de display: none	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.3.1 - Información y relaciones: Tablas sin descripción	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento: Bad value for attribute action on element form: Must be non-empty.	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 4.1.1 - Procesamiento CSS: Error de análisis sintáctico en estilos.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Closed	Accesibilidad		
ADRO	 Summary: Criterio 1.4.3 - Contraste mínimo: Enlaces con un contraste muy bajo	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.4.4 - Cambio de tamaño de texto: Existen fuentes absolutas en estilos.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.4.4 - Cambio de tamaño de texto: Existen fuentes absolutas en calendar.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.4.4 - Cambio de tamaño de texto: Existen fuentes absolutas en jquery-ui-1.8.16.custom.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.4.4 - Cambio de tamaño de texto: Existen fuentes absolutas en structure-stylesheet.css	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
ADRO	 Summary: Criterio 1.4.10 - Reflow: Doble scroll	APLICACIÓN	Alta	 99gu7918	9-M6	9-M6	9-M6	31/05/2021	Preexplotación Inestable	Reopen	Accesibilidad		
AGFE	 Summary: Criterio 4.1.1 – Procesamiento CSS: Error de análisis sintáctico en ParqEstructura.css	 INFRAESTRUCTURA	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	30/11/2021	Preexplotación L1	Heredado	Accesibilidad		
AGFE	 Summary: Criterio 1.4.4 – Cambio de tamaño del texto - Existen fuentes absolutas en CSS	 INFRAESTRUCTURA	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	30/11/2021	Preexplotación L1	Heredado	Accesibilidad		
AGFE	 Summary: Criterio 1.4.10 – Reflow: Doble scroll	 INFRAESTRUCTURA	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	30/11/2021	Preexplotación L1	Heredado	Accesibilidad		
AGFE	 Summary: Criterio 4.1.1 – Procesamiento: The only allowed value for the charset attribute for the script element is utf-8. (But the attribute is not needed and should be omitted altogether.)	 INFRAESTRUCTURA	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	30/11/2021	Preexplotación L1	Heredado	Accesibilidad		
AGFE	 Summary: Tratamiento Inadecuado de Errores. Pantalla mal formada con trazas del XML.	APLICACIÓN	Media	 99gu2977	03.01.19.05	03.01.19.05	03.01.21.04	30/11/2021	Preexplotación L1	Closed	Vulnerabilidad		
AGFE	 Summary: Criterio 1.3.1 - Información y relaciones: Ausencia de información para completar campos	APLICACIÓN	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	01/12/2021	Preexplotación L1	Closed	Accesibilidad		
AGFE	 Summary: Criterio 4.1.1 – Procesamiento: Internal encoding declaration iso-8859-1 disagrees with the actual encoding of the document (utf-8).	 INFRAESTRUCTURA	Alta	 99gu6291	03.01.19.05	03.01.19.05	03.01.21.04	01/12/2021	Preexplotación L1	Heredado	Accesibilidad		
